"Tabela 5938 - Produto interno bruto a preços correntes, impostos, líquidos de subsídios, sobre produtos a preços correntes e valor adicionado bruto a preços correntes total e por atividade econômica, e respectivas participações - Referência 2010"
"Variável - Produto Interno Bruto a preços correntes (Mil Reais)"
"Brasil e Unidade da Federação";"Ano"
"Brasil e Unidade da Federação";"2021";"2022";"2023"
"Brasil";"9012142000";"10079676378";"10943345439"
"Rondônia";"58170096";"66795454";"76456179"
"Acre";"21374440";"23676136";"26291321"
"Amazonas";"131531038";"145140465";"161794976"
"Roraima";"18202579";"21095342";"25124805"
"Pará";"262904979";"236141874";"254546511"
"Amapá";"20099851";"23614291";"28020120"
"Tocantins";"51780764";"58208795";"64317699"
"Maranhão";"124980720";"139789146";"149227195"
"Piauí";"64028303";"72834504";"80916856"
"Ceará";"194884802";"213600674";"232239257"
"Rio Grande do Norte";"80180733";"93819291";"101740275"
"Paraíba";"77470331";"86094173";"96963174"
"Pernambuco";"220813522";"245828017";"270474919"
"Alagoas";"76265620";"76065806";"89688932"
"Sergipe";"51861397";"57372241";"60816662"
"Bahia";"352617852";"402646606";"430987853"
"Minas Gerais";"857593214";"906730670";"971977551"
"Espírito Santo";"186336505";"182548590";"209829732"
"Rio de Janeiro";"949300770";"1153512155";"1172871443"
"São Paulo";"2719751231";"3130333203";"3444814033"
"Paraná";"549973062";"614610848";"670919162"
"Santa Catarina";"428570889";"466274103";"513392973"
"Rio Grande do Sul";"581283677";"593633656";"650107022"
"Mato Grosso do Sul";"142203766";"166407329";"184402118"
"Mato Grosso";"233390203";"255527297";"273008586"
"Goiás";"269627874";"318586149";"336746975"
"Distrito Federal";"286943782";"328789563";"365669108"
"Fonte: IBGE, em parceria com os Órgãos Estaduais de Estatística, Secretarias Estaduais de Governo e Superintendência da Zona Franca de Manaus - SUFRAMA"

"Notas"
"1 - Os dados de 2022 e 2023 estarão sujeitos a revisão na próxima publicação."
"2 - Para os anos de 2022 e 2023 foram divulgados apenas o Produto Interno Bruto e o Produto Interno Bruto per capita, conforme a nota técnica 02/2024 do Sistema de Contas Nacionais, que pode ser acessada em https://biblioteca.ibge.gov.br/visualizacao/livros/liv102094.pdf."
"3 - Os dados da série retropolada (de 2002 a 2009) também têm como referência o ano de 2010, seguindo a nova referência das Contas Nacionais."
""
"Legenda"
"Símbolo";"Significado"
"-";"Zero absoluto, não resultante de um cálculo ou arredondamento.
Ex: Em determinado município não existem pessoas de 14 anos de idade sem instrução."
"0";"Zero resultante de um cálculo ou arredondamento.
Ex: A inflação do feijão em determinada Região Metropolitana foi 0.
Determinado município produziu 400 kg de sementes de girassol e os dados da tabela são expressos em toneladas."
"X";"Valor inibido para não identificar o informante.
Ex: Determinado município só possui uma empresa produtora de cimento, logo o valor de sua produção deve ser inibido."
"..";"Valor não se aplica.
Ex: Não se pode obter o total da produção agrícola em determinado município quando os produtos agrícolas são contabilizados com unidades de medida distintas."
"...";"Valor não disponível.
Ex: A produção de feijão em determinado município não foi pesquisada ou determinado município não existia no ano da pesquisa."
"A a Z
(exceto X)";"Significa uma faixa de valores. Varia em função da tabela (se for o caso).
Ex: O nível de precisão da produção estimada de combustíveis está na faixa A (95 a 100%)"
