"query","search interest","increase percent"
"moto elétrica scooter",100,"-4%"
"moto",98,"-10%"
"scooter moto",96,"-9%"
"moto elétrica",94,"-10%"
"moto scooter",94,"-7%"
"moto scooter elétrica",93,"-10%"
"scooter eletrica",81,"-20%"
"bicicleta elétrica",47,"-20%"
"bicicleta scooter elétrica",45,"-20%"
"bicicleta elétrica scooter",44,"-20%"
"bicicleta",43,"-20%"
"scooter moto eletrica",41,"-8%"
"moto eletrica scooter",39,"-10%"
"moto eletrica",39,"-10%"
"moto scooter eletrica",39,"-10%"
"scooter elétrica preço",22,"-10%"
"scooter elétrica 1000w",20,"300%"
"bicicleta eletrica",18,"-30%"
"scooter elétrica 3000w",17,"130%"
"scooter elétrica 2000w",13,"-4%"
"bike elétrica",13,"-20%"
"scooter honda",11,"-30%"
"scooter elétrica honda",11,"-30%"
"honda",11,"-30%"
"scooter honda elétrica",11,"-30%"
"valor scooter elétrica",10,"40%"
"scooter elétrica adulto",10,"70%"
"scooter elétrica usada",8,"-60%"
"scooter elétrico",8,"-40%"
"scooter eletrico",8,"-40%"
"moto elétrica preço",8,"-20%"
"scooter elétrica shineray",7,"200%"
"shineray scooter elétrica",7,"200%"
"scooter shineray elétrica",7,"250%"
"shineray",7,"200%"
"scooter shineray",7,"200%"
"scooter eletrica preço",7,"-30%"
"scooter precisa de habilitação",7,"40%"
"scooter elétrica precisa de habilitação",7,"30%"
"mini scooter elétrica",6,"-20%"
"moto elétrica adulto",6,"40%"
"scooter elétrica 4000w",6,"1%"
"bike eletrica",6,"-40%"
"scooter eletrica 3000w",5,"80%"
"scooter eletrica 1000w",5,"170%"
"scooter elétrica x12",5,"850%"
"moto elétrica honda",5,"-40%"
"moto elétrica scooter 3000w",5,"70%"
"scooter elétrica voltz",5,"-60%"
"voltz",5,"-60%"
